,restaurant,street,zipCode,city,country,lat,long
75,Subway,Leipziger Platz,10117,Berlin,Germany,52.50961,13.3774
76,Subway,Marzahner Promenade 1A,12679,Berlin,Germany,52.5432,13.54314
77,Subway,Nonnendammallee 119,13629,Berlin,Germany,52.53967,13.25006
78,Subway,Ostbahnhof 5-7,10243,Berlin,Germany,52.51016,13.43279
79,Subway,Potsdamer Stra�e 11,14163,Berlin,Germany,52.43313,13.24289
80,Subway,Rudower Chaussee 12,12489,Berlin,Germany,52.43283,13.53588
81,Subway,Schonhauser Allee 78,10439,Berlin,Germany,52.54944,13.41388
82,Subway,Seegefelder Stra�e 1,13597,Berlin,Germany,52.53496,13.19854
83,Subway,Spandauer Stra�e 3,10178,Berlin,Germany,52.52027,13.40432
84,Subway,Teltower Damm 43-46,14167,Berlin,Germany,52.43004,13.25965
85,Subway,Tempelhofer Damm 227,12099,Berlin,Germany,52.45465,13.38424
86,Subway,Walther-Schreiber-Platz 1,12161,Berlin,Germany,52.4647,13.32815
87,Subway,Wilmersdorfer Str. 46,10627,Berlin,Germany,52.50972,13.30573
88,Subway,Zur Rinderauktionshalle 1,10247,Berlin,Germany,52.5231,13.46217
